input,label,formula_latex,context_text,problem_opt,answer_latex,prob_ans_latex,answer_opt,prob_ans_opt,problem_raw
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 3\,\frac{7}{27} [SEP] The problem is 22/12 - 4 6/15. The student response is 3 7/27. Likely a conversion issue: bundling whole and fractional parts, then operating across them during subtraction. [SEP]",conv-a,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 3\,\frac{7}{27}","The problem is 22/12 - 4 6/15. The student response is 3 7/27. Likely a conversion issue: bundling whole and fractional parts, then operating across them during subtraction.",SUB FRAC 22 12 ADD INT 4 FRAC 6 15,"3\,\frac{7}{27}","\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 3\,\frac{7}{27}",ADD INT 3 FRAC 7 27,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ ADD INT 3 FRAC 7 27,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 8\,\frac{1}{15} [SEP] The problem is 22/12 - 4 6/15. The student response is 8 1/15. Likely a conversion issue: using a reciprocal/cross-inversion step during setup rather than performing subtraction correctly. [SEP]",conv-b,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 8\,\frac{1}{15}",The problem is 22/12 - 4 6/15. The student response is 8 1/15. Likely a conversion issue: using a reciprocal/cross-inversion step during setup rather than performing subtraction correctly.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,"8\,\frac{1}{15}","\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 8\,\frac{1}{15}",ADD INT 8 FRAC 1 15,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ ADD INT 8 FRAC 1 15,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 7\,\frac{1}{3} [SEP] The problem is 22/12 - 4 6/15. The student response is 7 1/3. Likely a conversion issue: altering representations (e.g., combining parts) before aligning terms required for subtraction. [SEP]",conv-c,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 7\,\frac{1}{3}","The problem is 22/12 - 4 6/15. The student response is 7 1/3. Likely a conversion issue: altering representations (e.g., combining parts) before aligning terms required for subtraction.",SUB FRAC 22 12 ADD INT 4 FRAC 6 15,"7\,\frac{1}{3}","\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 7\,\frac{1}{3}",ADD INT 7 FRAC 1 3,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ ADD INT 7 FRAC 1 3,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -1\,\frac{17}{27} [SEP] The problem is 22/12 - 4 6/15. The student response is -1 17/27. Conversion behavior present but not matching common patterns; representation changed before carrying out subtraction. [SEP]",conv-d,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -1\,\frac{17}{27}",The problem is 22/12 - 4 6/15. The student response is -1 17/27. Conversion behavior present but not matching common patterns; representation changed before carrying out subtraction.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,"-1\,\frac{17}{27}","\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -1\,\frac{17}{27}",SUB INT 0 ADD INT 1 FRAC 17 27,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ SUB INT 0 ADD INT 1 FRAC 17 27,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 2\,\frac{17}{30} [SEP] The problem is 22/12 - 4 6/15. The student response is 2 17/30. Misapplied operation property: an additive-inverse transformation seems to have been introduced. [SEP]",po-a,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 2\,\frac{17}{30}",The problem is 22/12 - 4 6/15. The student response is 2 17/30. Misapplied operation property: an additive-inverse transformation seems to have been introduced.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,"2\,\frac{17}{30}","\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 2\,\frac{17}{30}",ADD INT 2 FRAC 17 30,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ ADD INT 2 FRAC 17 30,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -\frac{30}{77} [SEP] The problem is 22/12 - 4 6/15. The student response is -30/77. Misapplied operation property: a multiplicative inverse/reciprocal was applied to transform the expression. [SEP]",po-b,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -\frac{30}{77}",The problem is 22/12 - 4 6/15. The student response is -30/77. Misapplied operation property: a multiplicative inverse/reciprocal was applied to transform the expression.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,-\frac{30}{77},"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -\frac{30}{77}",FRAC -30 77,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ FRAC -30 77,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 53\,\frac{7}{9} [SEP] The problem is 22/12 - 4 6/15. The student response is 53 7/9. Misapplied operation property: a distributive-like rewrite over fractional parts appears to have been used for subtraction. [SEP]",po-c,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 53\,\frac{7}{9}",The problem is 22/12 - 4 6/15. The student response is 53 7/9. Misapplied operation property: a distributive-like rewrite over fractional parts appears to have been used for subtraction.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,"53\,\frac{7}{9}","\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 53\,\frac{7}{9}",ADD INT 53 FRAC 7 9,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ ADD INT 53 FRAC 7 9,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -29\,\frac{1}{3} [SEP] The problem is 22/12 - 4 6/15. The student response is -29 1/3. Other property-of-operation handling that does not follow the standard algorithm. [SEP]",po-d,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -29\,\frac{1}{3}",The problem is 22/12 - 4 6/15. The student response is -29 1/3. Other property-of-operation handling that does not follow the standard algorithm.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,"-29\,\frac{1}{3}","\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -29\,\frac{1}{3}",SUB INT 0 ADD INT 29 FRAC 1 3,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ SUB INT 0 ADD INT 29 FRAC 1 3,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, \frac{22}{27} [SEP] The problem is 22/12 - 4 6/15. The student response is 22/27. Denominator issue: operated across denominators or failed to establish a proper common denominator before subtraction. [SEP]",pf-a,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, \frac{22}{27}",The problem is 22/12 - 4 6/15. The student response is 22/27. Denominator issue: operated across denominators or failed to establish a proper common denominator before subtraction.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,\frac{22}{27},"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, \frac{22}{27}",FRAC 22 27,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ FRAC 22 27,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 5\,\frac{13}{15} [SEP] The problem is 22/12 - 4 6/15. The student response is 5 13/15. Denominator issue: incorrectly chose one denominator as if common (or renamed fractions inconsistently) for subtraction. [SEP]",pf-b,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 5\,\frac{13}{15}",The problem is 22/12 - 4 6/15. The student response is 5 13/15. Denominator issue: incorrectly chose one denominator as if common (or renamed fractions inconsistently) for subtraction.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,"5\,\frac{13}{15}","\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 5\,\frac{13}{15}",ADD INT 5 FRAC 13 15,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ ADD INT 5 FRAC 13 15,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, \frac{121}{1} [SEP] The problem is 22/12 - 4 6/15. The student response is 121/1. Numerator issue: operated on numerators in isolation from denominators. [SEP]",pf-c,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, \frac{121}{1}",The problem is 22/12 - 4 6/15. The student response is 121/1. Numerator issue: operated on numerators in isolation from denominators.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,\frac{121}{1},"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, \frac{121}{1}",FRAC 121 1,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ FRAC 121 1,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 5\,\frac{13}{15} [SEP] The problem is 22/12 - 4 6/15. The student response is 5 13/15. Other numerator-only handling that breaks the fraction-computation procedure. [SEP]",pf-d,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 5\,\frac{13}{15}",The problem is 22/12 - 4 6/15. The student response is 5 13/15. Other numerator-only handling that breaks the fraction-computation procedure.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,"5\,\frac{13}{15}","\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, 5\,\frac{13}{15}",ADD INT 5 FRAC 13 15,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ ADD INT 5 FRAC 13 15,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -\frac{11}{45} [SEP] The problem is 22/12 - 4 6/15. The student response is -11/45. Used denominator product in a context of subtraction where equal denominators are required. [SEP]",pf-e,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -\frac{11}{45}",The problem is 22/12 - 4 6/15. The student response is -11/45. Used denominator product in a context of subtraction where equal denominators are required.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,-\frac{11}{45},"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -\frac{11}{45}",FRAC -11 45,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ FRAC -11 45,22/12 - 4 6/15
"[CLS] \frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -2\,\frac{8}{15} [SEP] The problem is 22/12 - 4 6/15. The student response is -2 8/15. Arithmetic slip: local integer/computation error likely occurred. [SEP]",a,"\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -2\,\frac{8}{15}",The problem is 22/12 - 4 6/15. The student response is -2 8/15. Arithmetic slip: local integer/computation error likely occurred.,SUB FRAC 22 12 ADD INT 4 FRAC 6 15,"-2\,\frac{8}{15}","\frac{22}{12} \, - \, 4\,\frac{6}{15} \,=\, -2\,\frac{8}{15}",SUB INT 0 ADD INT 2 FRAC 8 15,SUB FRAC 22 12 ADD INT 4 FRAC 6 15 EQ SUB INT 0 ADD INT 2 FRAC 8 15,22/12 - 4 6/15
