problem_latex,context_text,problem_opt,input_text,label,problem_raw,student_answer,facet_mech,answer_latex,prob_ans_latex,answer_opt,prob_ans_opt
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 6/7.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{6}{7} [SEP] The problem is 14/19 + 4/2. The student response is 6/7. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",conv-a,14/19 + 4/2,6/7,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] changing representations not called for; mixing numerator and denominator operations  [MECH] Conversion bundles whole and part before operating.,\frac{6}{7},"\frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{6}{7}",FRAC 6 7,ADD FRAC 14 19 FRAC 4 2 EQ FRAC 6 7
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 7/19.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{7}{19} [SEP] The problem is 14/19 + 4/2. The student response is 7/19. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",conv-b,14/19 + 4/2,7/19,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] mixing numerator and denominator operations; changing denominators inconsistently  [MECH] Conversion uses a reciprocal/cross-inversion while preparing.,\frac{7}{19},"\frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{7}{19}",FRAC 7 19,ADD FRAC 14 19 FRAC 4 2 EQ FRAC 7 19
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 18/19.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{18}{19} [SEP] The problem is 14/19 + 4/2. The student response is 18/19. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",conv-c,14/19 + 4/2,18/19,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] changing representations not called for; combining numerators without first aligning denominators  [MECH] Conversion linearizes mixed forms into whole×den+num.,\frac{18}{19},"\frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{18}{19}",FRAC 18 19,ADD FRAC 14 19 FRAC 4 2 EQ FRAC 18 19
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 10/21.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{10}{21} [SEP] The problem is 14/19 + 4/2. The student response is 10/21. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",conv-d,14/19 + 4/2,10/21,[OFAM] Conversion [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] changing representations not called for  [MECH] Other conversion rewrite not required by the operation.,\frac{10}{21},"\frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{10}{21}",FRAC 10 21,ADD FRAC 14 19 FRAC 4 2 EQ FRAC 10 21
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is -2 14/19.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, -2\,\frac{14}{19} [SEP] The problem is 14/19 + 4/2. The student response is -2 14/19. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",po-a,14/19 + 4/2,-2 14/19,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] additive inverse used as a rewrite; changing representations not called for  [MECH] Adds a symmetric/additive-inverse transformation.,"-2\,\frac{14}{19}","\frac{14}{19} \, + \, \frac{4}{2} \,=\, -2\,\frac{14}{19}",-MIX 2 FRAC 14 19,ADD FRAC 14 19 FRAC 4 2 EQ -MIX 2 FRAC 14 19
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 19/52.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{19}{52} [SEP] The problem is 14/19 + 4/2. The student response is 19/52. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",po-b,14/19 + 4/2,19/52,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] reciprocal/inverse used as a rewrite; mixing numerator and denominator operations  [MECH] Applies a multiplicative-inverse transformation.,\frac{19}{52},"\frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{19}{52}",FRAC 19 52,ADD FRAC 14 19 FRAC 4 2 EQ FRAC 19 52
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 2 2/3.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, 2\,\frac{2}{3} [SEP] The problem is 14/19 + 4/2. The student response is 2 2/3. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",po-c,14/19 + 4/2,2 2/3,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] combining numerators without first aligning denominators; distributive rewrite across fractions  [MECH] Invokes distribution over fractional parts.,"2\,\frac{2}{3}","\frac{14}{19} \, + \, \frac{4}{2} \,=\, 2\,\frac{2}{3}",MIX 2 FRAC 2 3,ADD FRAC 14 19 FRAC 4 2 EQ MIX 2 FRAC 2 3
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 1 1/17.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, 1\,\frac{1}{17} [SEP] The problem is 14/19 + 4/2. The student response is 1 1/17. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",po-d,14/19 + 4/2,1 1/17,[OFAM] Property of Operation [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] not applicable  [MECH] Other property-of-operation combination.,"1\,\frac{1}{17}","\frac{14}{19} \, + \, \frac{4}{2} \,=\, 1\,\frac{1}{17}",MIX 1 FRAC 1 17,ADD FRAC 14 19 FRAC 4 2 EQ MIX 1 FRAC 1 17
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 2/3.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{2}{3} [SEP] The problem is 14/19 + 4/2. The student response is 2/3. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",pf-a,14/19 + 4/2,2/3,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] operating across denominators; changing denominators inconsistently  [MECH] Operates directly on denominators when combining.,\frac{2}{3},"\frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{2}{3}",FRAC 2 3,ADD FRAC 14 19 FRAC 4 2 EQ FRAC 2 3
"\frac{14}{19} \, + \, \frac{4}{2}",The problem is 14/19 + 4/2. The student response is 9/1.,ADD FRAC 14 19 FRAC 4 2,"[CLS] \frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{9}{1} [SEP] The problem is 14/19 + 4/2. The student response is 9/1. [SEP] ADD FRAC 14 19 FRAC 4 2 [SEP]",pf-b,14/19 + 4/2,9/1,[OFAM] Property of Fractions [OSTR] two_fractions [PREC] common_denominator_required_for_add_sub [TPIT] choosing denominator by one term/size; changing denominators inconsistently  [MECH] Chooses one denominator as if common.,\frac{9}{1},"\frac{14}{19} \, + \, \frac{4}{2} \,=\, \frac{9}{1}",FRAC 9 1,ADD FRAC 14 19 FRAC 4 2 EQ FRAC 9 1
